Epsilon,blockSize,maxErr,L1,KL,AverageProfileDistance
5.0,2,0.37978723404255316,1.3357961727808672,1.1936170212765955,1530.6666666666667
5.0,5,0.38191489361702124,1.273166207820793,1.129787234042553,1291.5151515151515
5.0,10,0.3787234042553191,1.0984146068169711,0.9765957446808509,1026.939393939394
10.0,1,0.17553191489361697,0.3721329841768808,0.6382978723404256,831.6363636363636
10.0,2,0.2585106382978723,0.5190188575056274,0.7999999999999999,642.8181818181819
10.0,5,0.3329787234042553,0.7512587204937163,0.8914893617021277,358.8484848484849
10.0,10,0.3542553191489361,0.8796458840191187,0.9085106382978724,251.9090909090909
20.0,1,0.001063829787234044,0.011260750793794825,0.012765957446808482,14.393939393939394
20.0,2,0.1989361702127659,0.38565693860172745,0.5787234042553191,24.454545454545453
20.0,5,0.326595744680851,0.7060843167441361,0.8361702127659575,52.81818181818182
20.0,10,0.3585106382978723,0.8929205332279391,0.8936170212765957,110.54545454545455
